;InChiKey;SMILES;N_count;Solvent;Target1;Target2;Target3;Target4;
475;DTTMRKNPMIUICE-UHFFFAOYSA-N;CC(C)(C)C1=CSC(=N1)C(C)(C)C;1;CDCl3 ;-63.6;;;;
476;DTTMRKNPMIUICE-UHFFFAOYSA-N;CC(C)(C)C1=CSC(=N1)C(C)(C)C;1;;;;;;
477;WEVYAHXRMPXWCK-UHFFFAOYSA-N;CC#N;1;NEAT ;-134.6;;;;
478;WEVYAHXRMPXWCK-UHFFFAOYSA-N;CC#N;1;;;;;;
481;WEVYAHXRMPXWCK-UHFFFAOYSA-N;CC#N;1;Neat liquid;-137.6;;;;
482;WEVYAHXRMPXWCK-UHFFFAOYSA-N;CC#N;1;;;;;;
483;WEVYAHXRMPXWCK-UHFFFAOYSA-N;CC#N;1;;;;;;
484;WEVYAHXRMPXWCK-UHFFFAOYSA-N;CC#N;1;;;;;;
485;WEVYAHXRMPXWCK-UHFFFAOYSA-N;CC#N;1;;;;;;
486;WEVYAHXRMPXWCK-UHFFFAOYSA-N;CC#N;1;;;;;;
487;WEVYAHXRMPXWCK-UHFFFAOYSA-N;CC#N;1;;;;;;
518;QZYIDVHCJFYWHP-UHFFFAOYSA-N;COP(=O)(N1CCCCCCCC1)OC;1;C6D6;-335.3;;;;
519;QZYIDVHCJFYWHP-UHFFFAOYSA-N;COP(=O)(N1CCCCCCCC1)OC;1;;;;;;
520;DIXOWBBVDPNRHQ-UHFFFAOYSA-N;COC(=O)C1=CC2=C(N1)OC=C2;1;CDCl3;-262.1;;;;
521;DIXOWBBVDPNRHQ-UHFFFAOYSA-N;COC(=O)C1=CC2=C(N1)OC=C2;1;;;;;;
529;OKJIRPAQVSHGFK-UHFFFAOYSA-N;CC(=O)NCC(=O)O;1;DMSO;-269.9;;;;
530;OKJIRPAQVSHGFK-UHFFFAOYSA-N;CC(=O)NCC(=O)O;1;;;;;;
531;OKJIRPAQVSHGFK-UHFFFAOYSA-N;CC(=O)NCC(=O)O;1;;;;;;
532;OKJIRPAQVSHGFK-UHFFFAOYSA-N;CC(=O)NCC(=O)O;1;;;;;;
533;OKJIRPAQVSHGFK-UHFFFAOYSA-N;CC(=O)NCC(=O)O;1;;;;;;
534;OKJIRPAQVSHGFK-UHFFFAOYSA-N;CC(=O)NCC(=O)O;1;;;;;;
535;OKJIRPAQVSHGFK-UHFFFAOYSA-N;CC(=O)NCC(=O)O;1;;;;;;
540;NBGBXRMKZNVTPG-UHFFFAOYSA-N;CC(=O)N1CC1C(=O)OC;1;CDCl3;-289.9;;;;
541;NBGBXRMKZNVTPG-UHFFFAOYSA-N;CC(=O)N1CC1C(=O)OC;1;;;;;;
577;DJJULQXQYLDLAQ-UHFFFAOYSA-N;C1CC(=CC(=O)C1)N2CCOCC2;1;C6D6;-291.7;;;;
